chamber,replicate,light,Chondrilla,Posidonia,NH4,PO4,NO2,NO3,SiO4,DOC,TDN,O2_f,O2_0,temp,volume,dw_leaves,dw_rhizome,dw_sponge,t0,tf,Observation,Month
environment,A,,0,0,0.9874,0.0517,0.127,0.822,2.3601,116.52,7.89,,,,,,,,,,t0,November
environment,B,,0,0,0.9681,0.0396,0.1227,0.7806,2.4784,139.08,11.34,,,,,,,,,,t0,November
environment,C,,0,0,0.9697,0.0448,0.1198,0.9399,2.7568,111.17,5.71,,,,,,,,,,t0,November
environment,D,,0,0,2.4993,0.1239,0.1599,1.4533,2.1459,108.23,6.76,,,,,,,,,,t0,November
environment,E,,0,0,1.8666,0.049,0.1521,1.1184,2.4618,111.43,6.37,,,,,,,,,,t0,November
environment,A,0,0,0,,,,,,,,,11.5,19.5,,0,0,0,,,t0,November
environment,B,0,0,0,,,,,,,,,11.3,19.4,,0,0,0,,,t0,November
environment,C,0,0,0,,,,,,,,,11.5,19.4,,0,0,0,,,t0,November
ponchos_A1,A,0,0,0,4.9893,0.0859,0.3895,1.9776,3.1133,115.72,8.15,11.17,,17.6,0.545,0,0,0,12:44,17:22,Control,November
ponchos_A1,B,0,0,0,4.1331,0.0569,0.2243,1.2546,3.4019,106.14,6.25,11.17,,17.6,0.545,0,0,0,12:44,17:22,Control,November
ponchos_A14,A,0,0,0,5.4223,0.0933,0.5171,2.9518,2.6926,111.58,6.62,11.18,,18,0.55,0,0,0,12:43,17:17,Control,November
ponchos_A14,B,0,0,0,0.946,0.0547,0.1298,1.0318,2.784,96.16,6.13,11.18,,18,0.55,0,0,0,12:43,17:17,Control,November
ponchos_A156,A,0,0,1,2.4905,0.0962,0.1116,0.5314,2.9122,148.99,13.72,6.74,,18,0.525,0.552,4.18,0,12:29,16:50,Posidonia,November
ponchos_A156,B,0,0,1,1.8782,0.0893,0.1048,0.5011,3.0167,147.34,14.14,6.74,,18,0.525,0.552,4.18,0,12:29,16:50,Posidonia,November
ponchos_A157,A,0,1,1,4.4432,0.1534,0.3037,2.9456,3.215,139.21,16.89,8.72,,18.6,0.52,0.306,1.858,0.651,12:35,16:19,Association,November
ponchos_A157,B,0,1,1,15.0593,0.2093,0.308,4.4019,3.396,137.68,16.58,8.72,,18.6,0.52,0.306,1.858,0.651,12:35,16:19,Association,November
ponchos_A158,A,0,0,0,3.8845,0.0412,0.2731,1.5737,3.1231,98.72,7.57,11.03,,18.6,0.52,0,0,0,,,rock,November
ponchos_A158,B,0,0,0,1.1482,0.0371,0.1728,1.1946,3.133,102.19,7.82,11.03,,18.6,0.52,0,0,0,,,rock,November
ponchos_A17,A,0,1,0,3.966,0.1061,0.6108,8.9296,4.5034,124.08,21.47,8.76,,17.9,0.52,0,0,1.372,12:37,16:56,Chondrilla,November
ponchos_A17,B,0,1,0,4.242,0.1632,0.5569,9.5669,4.4524,123.83,21.74,8.76,,17.9,0.52,0,0,1.372,12:37,16:56,Chondrilla,November
ponchos_A20,A,0,0,0,7.5101,0.1339,0.631,3.692,2.061,102.5,5.69,11.08,,17.8,0.54,0,0,0,12:43,17:13,Control,November
ponchos_A20,B,0,0,0,5.628,0.1263,0.3863,2.204,2.3979,107.82,6.39,11.08,,17.8,0.54,0,0,0,12:43,17:13,Control,November
ponchos_A21,A,0,0,1,2.4381,0.0915,0.1777,1.4174,3.3657,134.12,14.23,9.07,,18.1,0.535,0.296,1.794,0,12:36,16:37,Posidonia,November
ponchos_A21,B,0,0,1,2.5043,0.1057,0.1412,1.2867,3.1744,131.71,14.18,9.07,,18.1,0.535,0.296,1.794,0,12:36,16:37,Posidonia,November
ponchos_A22,A,0,1,1,6.1118,0.3205,1.2097,6.6806,3.0062,170.2,31.69,6.51,,18.7,0.52,0.625,2.296,2.3,12:31,16:25,Association,November
ponchos_A22,B,0,1,1,6.6395,0.375,1.1605,7.8239,3.1691,173.25,32.6,6.51,,18.7,0.52,0.625,2.296,2.3,12:31,16:25,Association,November
ponchos_A24,A,0,0,1,3.0697,0.1623,0.1822,0.6533,2.5395,341.55,36.74,7.52,,18.2,0.545,0.588,2.77,0,12:33,16:42,Posidonia,November
ponchos_A24,B,0,0,1,1.2494,0.163,0.1184,0.4902,2.4863,337.19,36.27,7.52,,18.2,0.545,0.588,2.77,0,12:33,16:42,Posidonia,November
ponchos_A4,A,0,1,0,4.5204,0.165,0.4629,5.1236,3.1468,112.39,15.5,10.2,,17.8,0.53,0,0,0.49,12:40,17:08,Chondrilla,November
ponchos_A4,B,0,1,0,10.9311,0.3426,1.1422,7.2085,3.1661,120.39,15.78,10.2,,17.8,0.53,0,0,0.49,12:40,17:08,Chondrilla,November
ponchos_A5,A,0,1,1,8.1747,0.5345,0.7282,20.2521,2.9827,173.76,46.41,5.45,,18.4,0.52,0.378,2.1,5.1,12:30,16:38,Association,November
ponchos_A5,B,0,1,1,7.1775,0.5042,0.5886,18.1758,2.7599,202.73,48.09,5.45,,18.4,0.52,0.378,2.1,5.1,12:30,16:38,Association,November
ponchos_A9,A,0,1,0,7.6176,0.2511,0.8482,4.6873,2.9792,128.62,16.23,10.14,,17.8,0.515,0,0,0.758,12:39,17:02,Chondrilla,November
ponchos_A9,B,0,1,0,3.7266,0.2326,0.2692,2.5952,3.402,118.55,16.52,10.14,,17.8,0.515,0,0,0.758,12:39,17:02,Chondrilla,November
environment,A,1,0,0,,,,,,,,,11.8,19.5,,0,0,0,,,t0,November
environment,B,1,0,0,,,,,,,,,11.7,19.5,,0,0,0,,,t0,November
environment,C,1,0,0,,,,,,,,,11.9,19.4,,0,0,0,,,t0,November
ponchos_A10,A,1,0,1,3.1193,0.141,0.1913,1.5699,3.2257,148.35,14.46,15.73,,19.9,0.54,0.337,1.63,0,12:00,14:37,Posidonia,November
ponchos_A10,B,1,0,1,3.9881,0.116,0.2255,1.7113,3.2632,136.92,13.26,15.73,,19.9,0.54,0.337,1.63,0,12:00,14:37,Posidonia,November
ponchos_A11,A,1,0,0,0.9708,0.1066,0.1298,0.8842,3.1172,113.9,12.72,10.88,,19.1,0.535,0,0,0,12:16,16:00,Control,November
ponchos_A11,B,1,0,0,1.1347,0.1183,0.1185,1.0901,3.1427,118.55,12.26,10.88,,19.1,0.535,0,0,0,12:16,16:00,Control,November
ponchos_A12,A,1,0,1,2.5401,0.237,0.2065,1.7248,3.2575,148.73,18.01,15.28,,20,0.535,0.278,2.91,0,12:05,15:02,Posidonia,November
ponchos_A12,B,1,0,1,2.2726,0.2063,0.1784,1.7792,2.9599,153.05,17.79,15.28,,20,0.535,0.278,2.91,0,12:05,15:02,Posidonia,November
ponchos_A13,A,1,1,1,10.166,0.5793,0.773,7.8747,3.0993,190.15,29.6,14.71,,19.5,0.535,0.22,1.945,0.814,12:12,15:14,Association,November
ponchos_A13,B,1,1,1,4.3517,0.4008,0.4313,7.8462,3.2086,194.21,32.21,14.71,,19.5,0.535,0.22,1.945,0.814,12:12,15:14,Association,November
ponchos_A16,A,1,0,1,4.297,0.1876,0.1822,1.4187,4.7387,149.37,16.61,14.64,,19.7,0.525,0.249,1.19,0,12:01,15:10,Posidonia,November
ponchos_A16,B,1,0,1,2.0382,0.1917,0.145,1.484,3.1437,134.89,14.11,14.64,,19.7,0.525,0.249,1.19,0,12:01,15:10,Posidonia,November
ponchos_A18,A,1,1,0,2.8711,0.1967,0.2994,6.9705,3.7186,168.42,25.31,12.78,,19.1,0.475,0,0,2.91,12:10,15:36,Chondrilla,November
ponchos_A18,B,1,1,0,2.0323,0.1988,0.2881,8.4125,4.0256,142.63,21.94,12.78,,19.1,0.475,0,0,2.91,12:10,15:36,Chondrilla,November
ponchos_A19,A,1,0,0,2.9235,0.0973,0.1594,1.0655,3.7357,116.7,18.73,10.84,,19.3,0.55,0,0,0,12:16,15:55,Control,November
ponchos_A19,B,1,0,0,0.4919,0.0871,0.1119,0.9423,3.7733,112.8,11.96,10.84,,19.3,0.55,0,0,0,12:16,15:55,Control,November
ponchos_A2,A,1,1,1,2.6339,0.2116,0.2414,2.7776,3.0535,341.07,60.67,19.65,,19.8,0.53,1.21,1.78,0.449,12:03,15:28,Association,November
ponchos_A2,B,1,1,1,4.4141,0.3046,0.2617,3.2597,2.9422,356.06,60.49,19.65,,19.8,0.53,1.21,1.78,0.449,12:03,15:28,Association,November
ponchos_A23,A,1,1,1,1.6383,0.1405,0.1458,2.803,2.761,132.67,7.09,17.98,,19.5,0.545,0.73,1.823,0.68,12:11,15:20,Association,November
ponchos_A23,B,1,1,1,2.4193,0.1515,0.1449,3.4456,2.9008,128.99,11.87,17.98,,19.5,0.545,0.73,1.823,0.68,12:11,15:20,Association,November
ponchos_A3,A,1,0,0,2.9274,0.0721,0.08,1.1559,2.8337,105.23,7.66,15.46,,19.1,0.505,0,0,0,,,rock,November
ponchos_A3,B,1,0,0,2.6174,0.0669,0.1163,1.871,3.3315,109.65,6.42,15.46,,19.1,0.505,0,0,0,,,rock,November
ponchos_A6,A,1,1,0,6.5475,0.2224,0.6072,6.8473,3.202,117.05,13.89,11.18,,19.1,0.515,0,0,9.177,12:10,15:44,Chondrilla,November
ponchos_A6,B,1,1,0,4.9598,0.2116,0.4644,8.4653,3.1805,108.93,13.31,11.18,,19.1,0.515,0,0,9.177,12:10,15:44,Chondrilla,November
ponchos_A7,A,1,1,0,3.9412,0.3598,0.3045,6.1448,3.0108,158.15,26.34,10.08,,20.1,0.52,0,0,2.093,12:15,14:49,Chondrilla,November
ponchos_A7,B,1,1,0,5.2188,0.3448,0.3741,8.7781,3.6197,146.25,24.93,10.08,,20.1,0.52,0,0,2.093,12:15,14:49,Chondrilla,November
ponchos_A8,A,1,0,0,2.1926,0.0836,0.1526,1.1548,3.1061,150.61,14.29,10.92,,18.8,0.55,0,0,0,12:15,15:50,Control,November
ponchos_A8,B,1,0,0,2.5543,0.1016,0.1251,1.5885,3.2833,148.89,15.13,10.92,,18.8,0.55,0,0,0,12:15,15:50,Control,November
Posidonia_Chondrilla-May-1,,1,1,1,1.2115,0.0957,0.0734,1.2839,1.8427,157.17,26.86,10.44,7.45,,1.1,1.87,,0.4,12:17,18:36,Association,May
Posidonia_Chondrilla-May-2,,1,1,1,0.5884,0.126,0.0607,3.35,1.5291,144.75,21.72,12.07,7.45,,1.1,1.45,,0.8,12:17,18:39,Association,May
Posidonia_Chondrilla-May-3,,1,1,1,1.0258,0.1071,0.0565,0.9211,1.8702,230.67,44.3,10.17,7.45,,1.1,1.83,,0.22,12:17,18:41,Association,May
Posidonia_Chondrilla-May-4,,1,1,1,1.8946,0.1853,0.135,5.2375,2.1917,111.68,21.23,10.73,7.45,,1.1,0.47,,1.42,12:17,18:43,Association,May
Posidonia-May-5,,1,0,1,0.8065,0.0851,0.048,0.31,1.9387,179.3,35.03,12.56,7.91,,1.1,1.09,,0,12:17,18:49,Posidonia,May
Posidonia-May-6,,1,0,1,0.5842,0.0789,0.0522,0.1943,2.0829,259.39,27.94,10.58,7.91,,1.1,1,,0,12:17,18:51,Posidonia,May
Posidonia-May-7,,1,0,1,0.287,0.0623,0.031,0.1022,2.2247,188.62,25.97,14.87,7.91,,1.1,2.44,,0,12:17,18:53,Posidonia,May
Posidonia-May-8,,1,0,1,0.5201,0.0691,0.0458,0.1557,2.1056,187.32,33.6,14.06,7.91,,1.1,1.71,,0,12:17,18:55,Posidonia,May
Chondrilla-May-9,,1,1,0,1.8844,0.1891,0.0637,3.1522,2.3862,128.71,24.92,7.22,8.72,,1.1,0,0,0.73,12:17,18:58,Chondrilla,May
Chondrilla-May-10,,1,1,0,3.1294,0.2106,0.2428,10.8287,2.1976,113.23,29.75,6.37,8.72,,1.1,0,0,2.81,12:17,19:00,Chondrilla,May
Chondrilla-May-11,,1,1,0,0.7765,0.1027,0.0739,1.6897,2.2405,92.67,10.93,8.04,8.72,,1.1,0,0,0.79,12:17,19:02,Chondrilla,May
Chondrilla-May-12,,1,1,0,3.6812,0.1824,0.1978,3.7125,2.2734,103.86,21.5,7.1,8.72,,1.1,0,0,1.6,12:17,19:04,Chondrilla,May
Control-May-13,,1,0,0,1.3787,0.0636,0.0535,0.6326,2.4354,88.31,11.28,6.74,7.39,,1.1,0,0,0,12:17,19:06,Control,May
Control-May-14,,1,0,0,1.6028,0.1369,0.0696,0.5566,2.3576,140.07,13.83,6.48,7.39,,1.1,0,0,0,12:17,19:08,Control,May
Control-May-15,,0,0,0,0.9012,0.179,0.0666,0.7194,2.2232,168.45,15.5,6.33,7.03,,1.1,0,0,0,12:01,18:15,Control,May
Control-May-16,,0,0,0,0.9006,0.0672,0.07,0.716,2.2611,84.75,9.13,6.77,7.03,,1.1,0,0,0,12:01,18:19,Control,May
Posidonia_Chondrilla-May-17,,0,1,1,0.9096,0.1366,0.0811,6.8069,2.0209,107.77,18.27,5.81,7.66,,1.1,1.21,,1.78,12:01,17:30,Association,May
Posidonia_Chondrilla-May-18,,0,1,1,2.4799,0.464,0.1566,8.3019,2.5206,299.76,72.45,6.55,7.66,,1.1,1.78,,0.86,12:01,17:38,Association,May
Posidonia_Chondrilla-May-19,,0,1,1,3.2834,0.6154,0.1579,11.9495,2.5206,245.03,57.79,4.98,7.66,,1.1,2.37,,2.11,12:01,17:42,Association,May
Posidonia_Chondrilla-May-20,,0,1,1,0.4081,0.1055,0.0446,3.6292,1.883,80.95,11.83,5.73,7.66,,1.1,0.73,,1.07,12:01,17:46,Association,May
Posidonia-May-21,,0,0,1,1.0983,0.0825,0.048,0.4112,1.9283,131.03,12.71,7.03,7.63,,1.1,0.87,,0,12:01,17:52,Posidonia,May
Posidonia-May-22,,0,0,1,0.341,0.0698,0.0522,0.3558,1.9761,121.16,16.43,6.92,7.63,,1.1,1.66,,0,12:01,17:55,Posidonia,May
Posidonia-May-23,,0,0,1,0.4674,0.0494,0.0437,0.2161,2.0805,114.81,14.15,7.29,7.63,,1.1,1.01,,0,12:01,17:58,Posidonia,May
Posidonia-May-24,,0,0,1,0.8395,0.0807,0.0586,0.1927,2.2931,353.59,74.36,8.35,7.63,,1.1,2.35,,0,12:01,18:00,Posidonia,May
Chondrilla-May-25,,0,1,0,1.4218,0.1811,0.0968,18.3788,2.2006,107.39,38.69,3.26,7.24,,1.1,0,0,3.36,12:01,18:04,Chondrilla,May
Chondrilla-May-26,,0,1,0,1.6621,0.157,0.1583,4.0435,2.3926,103.86,20.84,6.05,7.24,,1.1,0,0,1.5,12:01,18:08,Chondrilla,May
Chondrilla-May-27,,0,1,0,2.6213,0.3594,0.205,28.4568,2.3926,135.05,56.64,4.69,7.24,,1.1,0,0,3.15,12:01,18:11,Chondrilla,May
Chondrilla-May-28,,0,1,0,2.8586,0.2383,0.2092,28.8588,2.2473,123.28,55.52,3.95,7.24,,1.1,0,0,3.47,12:01,18:13,Chondrilla,May
environment,,,0,0,0.3517,0.0603,0.0411,0.6117,2.1286,86.48,7.37,,,,,,,,,,t0,May
environment,,,0,0,0.4476,0.068,0.0427,0.5935,2.0344,79.49,7.09,,,,,,,,,,t0,May
environment,,,0,0,0.3847,0.0553,0.0527,0.6401,2.0658,79.65,7.38,,,,,,,,,,t0,May
